title,link
"""
        Jardim Botânico tem inscrições abertas para oficina gratuita de hortas urbanas e compostagem em Juiz de Fora
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=47&r=1684280168221&u=https%3A%2F%2Fg1.globo.com%2Fmg%2Fzona-da-mata%2Fnoticia%2F2023%2F05%2F10%2Fjardim-botanico-tem-inscricoes-abertas-para-oficina-gratuita-de-hortas-urbanas-e-compostagem-em-juiz-de-fora.ghtml&syn=False&key=ad03c210de53e742236043038c26da2f"""
"""
        Agrotecnoleite Complem 2023 é aberta em Morrinhos
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=48&r=1684280168243&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11612779%2F&syn=False&key=19ec7137a862d0a06afe14321f1bfb68"""
"""
        Glocal Roraima discute sustentabilidade na Amazônia com lideranças e pesquisadores
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=49&r=1684280168248&u=https%3A%2F%2Fg1.globo.com%2Frr%2Froraima%2Fnoticia%2F2023%2F04%2F07%2Fglocal-roraima-discute-sustentabilidade-na-amazonia-com-liderancas-e-pesquisadores.ghtml&syn=False&key=3f5557d6a86c6be41f42569976c9288f"""
"""
        ‘Nosso Verde’ fala sobre sustentabilidade e ensina como preparar a compostagem
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=50&r=1684280168253&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11534653%2F&syn=False&key=afd5a949c4aadb1dc2af409674b09c51"""
"""
        Glocal Roraima discute sustentabilidade na Amazônia com lideranças e pesquisadores
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=51&r=1684280168256&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11525935%2F&syn=False&key=1489737ff6b42a1afe249348fb934af4"""
"""
        Evento do Google discute sustentabilidade em Belém
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=52&r=1684280168261&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11507564%2F&syn=False&key=4125a54c043301751f59f1c4ab580558"""
"""
        Cidades da região de Rio Preto aparecem entre melhores do país em ranking de sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=53&r=1684280168266&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fsao-jose-do-rio-preto-aracatuba%2Fnoticia%2F2023%2F04%2F11%2Fcidades-da-regiao-de-rio-preto-aparecem-entre-melhores-do-pais-em-ranking-de-sustentabilidade.ghtml&syn=False&key=c02dd0b670c7da18cdbdddf407201996"""
"""
        Produtores investem em biotecnologia no campo para melhorar produtividade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=54&r=1684280168270&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11613875%2F&syn=False&key=13d1567169c61f622a091f9611c71515"""
"""
        Botucatu, Marília e Bauru aparecem entre melhores cidades do Brasil em ranking de sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=55&r=1684280168274&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fbauru-marilia%2Fnoticia%2F2023%2F04%2F10%2Fbotucatu-marilia-e-bauru-aparecem-entre-melhores-cidades-do-brasil-em-ranking-de-sustentabilidade.ghtml&syn=False&key=8bc159f4c0809d9b432bf2bef927775e"""
"""
        Que tal aliar arte, sabor e sustentabilidade?
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=56&r=1684280168278&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11479424%2F&syn=False&key=58a72f191dcf6f3b07a4153a18cebbf1"""
"""
        Projeto de escola une cultura e sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=57&r=1684280168282&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11490427%2F&syn=False&key=7226cc592290dbc00cf5e3b8dbbffc88"""
"""
        Estudantes participam de fórum da sustentabilidade na The Ocean Race em Itajaí
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=58&r=1684280168286&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11530068%2F&syn=False&key=3a73649c370355c986b471f2ee481075"""
"""
        Representante do Google no Brasil discute sustentabilidade em Belém
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=59&r=1684280168290&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11504301%2F&syn=False&key=f6a7ec96bede01fc34e19bc8e1e06c02"""
"""
        Em Belém, Google lança plataformas ligadas à sustentabilidade e combate às mudanças climáticas na Amazônia
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=60&r=1684280168345&u=https%3A%2F%2Fg1.globo.com%2Fpa%2Fpara%2Fnoticia%2F2023%2F04%2F04%2Fem-belem-google-lanca-plataformas-ligadas-a-sustentabilidade-e-combate-as-mudancas-climaticas-na-amazonia.ghtml&syn=False&key=a3b14ce383ec66d7c84f84dca5dd677a"""
"""
        Sustentabilidade é uma das principais preocupações entre os artistas do Lollapalooza
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=61&r=1684280168880&u=https%3A%2F%2Fg1.globo.com%2Fjornal-nacional%2Fnoticia%2F2023%2F03%2F24%2Fsustentabilidade-e-uma-das-principais-preocupacoes-entre-os-artistas-do-lollapalooza.ghtml&syn=False&key=48e736e12e2babbd99e834d495935285"""
"""
        Focado em sustentabilidade, South Summit acontece em Porto Alegre
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=62&r=1684280168885&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11493108%2F&syn=False&key=db286e0bd487049ce33546860ac6fe38"""
